Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-04-15 17:00:00,8282.69,8321.75,8264.71,8294.58,138.36,1147060.55,8290.7
2018-04-15 18:00:00,8294.59,8335.56,8282.1,8322.5,131.3,1091215.87,8310.61
2018-04-15 19:00:00,8315.73,8327.46,8268.9,8297.28,253.25,2098700.93,8286.94
2018-04-15 20:00:00,8305.23,8324.38,8266.86,8289.8,118.61,983966.12,8295.54
2018-04-15 21:00:00,8279.99,8334.68,8267.92,8320,202.33,1680677.74,8306.46
2018-04-15 22:00:00,8306.88,8363.32,8289.4,8355.69,271.77,2266103.92,8338.22
2018-04-15 23:00:00,8354.65,8365,8308.33,8354.22,294.88,2457274.92,8333.18
2018-04-16 00:00:00,8353.43,8424.99,8324.83,8385.1,533.82,4475805.34,8384.49
2018-04-16 01:00:00,8392.65,8420,8335.57,8352.04,627.14,5256145.25,8381.11
2018-04-16 02:00:00,8348.44,8354.21,8106.26,8159.91,1588.36,12993163.57,8180.21
2018-04-16 03:00:00,8158.3,8203.34,8135.26,8173.59,341.15,2788079.78,8172.62
2018-04-16 04:00:00,8173.19,8186.52,8135.87,8143,281.74,2297236.96,8153.78
2018-04-16 05:00:00,8143.09,8146.93,8002,8053.1,1226.59,9881871.24,8056.35
2018-04-16 06:00:00,8053.1,8109.73,7999.69,8097.9,954.45,7665523.07,8031.33
2018-04-16 07:00:00,8085.78,8137.99,8059,8113.04,292.33,2366604.93,8095.72
2018-04-16 08:00:00,8113.04,8143.11,8090.35,8140.35,288.31,2339878.06,8115.95
2018-04-16 09:00:00,8128.7,8142.45,8035.4,8101.33,358.97,2901753.07,8083.48
2018-04-16 10:00:00,8101.33,8130.01,8045.13,8084.68,213,1724796.63,8097.52
2018-04-16 11:00:00,8085.9,8107.93,8029.14,8097.05,305.03,2461202.92,8068.64
2018-04-16 12:00:00,8097.05,8097.05,7920.01,7955.55,1121.88,8979077.72,8003.63
2018-04-16 13:00:00,7963.6,7982.59,7905,7970.73,476.75,3787281.74,7943.9
2018-04-16 14:00:00,7970.73,8004.84,7933.58,7976,238.05,1897525.1,7971.19
2018-04-16 15:00:00,7980,7997.43,7962,7974.94,318.15,2540266.8,7984.56
2018-04-16 16:00:00,7969.48,7985,7938.78,7966.2,119.86,954698.77,7965.14
2018-04-16 17:00:00,7968.5,8063,7963.3,8032.9,267.46,2146657.83,8026.03
2018-04-16 18:00:00,8031.21,8042.49,8005.19,8028.95,179.43,1440416.47,8027.75
2018-04-16 19:00:00,8023.37,8054.62,7978.21,7996.29,198.29,1589142.11,8014.32
2018-04-16 20:00:00,7988.1,8009.99,7949.35,8001.4,181.91,1452445.89,7984.5
2018-04-16 21:00:00,8001.16,8035.26,7977.59,8028.93,258.32,2070837.39,8016.46
2018-04-16 22:00:00,8028.5,8035.11,7964.72,8020.68,172.32,1380402.39,8010.56
2018-04-16 23:00:00,8017.1,8094.17,8017.1,8048.15,323.28,2603153.17,8052.26
2018-04-17 00:00:00,8054.68,8067.55,8009.13,8037.1,212.16,1705726.16,8039.95
2018-04-17 01:00:00,8043.49,8076.68,8016.5,8025.78,162.26,1304708.66,8040.64
2018-04-17 02:00:00,8026.99,8049.22,7968.31,8033.08,232.76,1863898.96,8007.65
2018-04-17 03:00:00,8045.29,8046.95,8000.11,8027.42,118.07,947456.11,8024.7
2018-04-17 04:00:00,8033.59,8033.59,7985.98,8019.48,146.19,1170962.06,8009.76
2018-04-17 05:00:00,8018.48,8023.56,7971,7978.47,283.83,2271592.88,8003.32
2018-04-17 06:00:00,7976,8037.66,7968.31,8007.66,209.76,1678074.23,7999.86
2018-04-17 07:00:00,8007.68,8160,7999.27,8117,898.37,7286978.89,8111.35
2018-04-17 08:00:00,8115.52,8160.85,8114.02,8124.24,332.71,2705165.17,8130.6
2018-04-17 09:00:00,8129.99,8150,8124.5,8141.8,305.75,2488661.68,8139.42
2018-04-17 10:00:00,8144.89,8155.86,8060.87,8090.31,871.2,7057765.13,8101.18
2018-04-17 11:00:00,8097.52,8124.62,8082.46,8120.09,163.49,1325435.03,8107.27
2018-04-17 12:00:00,8120.88,8149.66,8090,8098.5,444.76,3614275.26,8126.42
2018-04-17 13:00:00,8099.56,8119.92,8050,8101.29,228.48,1848922.14,8092.4
2018-04-17 14:00:00,8096.44,8125.29,8068.37,8109.31,653.89,5296057.64,8099.35
2018-04-17 15:00:00,8109.6,8118.73,8070.4,8075.33,270.93,2191363.29,8088.34
2018-04-17 16:00:00,8083.54,8124.5,8070.75,8103.71,248.61,2014208.89,8101.95
2018-04-17 17:00:00,8109.2,8122.3,8081.35,8089.43,289.27,2342762.69,8098.93
2018-04-17 18:00:00,8089.25,8095.44,7909.75,7938.33,738.11,5905509.21,8000.85
2018-04-17 19:00:00,7940,7942.11,7850,7872.33,1157.71,9122960.07,7880.19
2018-04-17 20:00:00,7872.33,7934.49,7806.81,7918.7,687.34,5412531.36,7874.66
2018-04-17 21:00:00,7915.55,7938.4,7886.54,7907.9,171.22,1354660.09,7911.75
2018-04-17 22:00:00,7907.64,7917.08,7875.62,7903.11,261.35,2062724.85,7892.63
2018-04-17 23:00:00,7910.38,7910.38,7860.5,7890.87,188.94,1489613.8,7884.1
2018-04-18 00:00:00,7890.87,7930,7874.03,7909.42,286.3,2262919.93,7903.94
2018-04-18 01:00:00,7909.42,7960.82,7909.42,7930.03,379.17,3008407.13,7934.13
2018-04-18 02:00:00,7935.64,7960,7902.48,7902.48,204.07,1618811.84,7932.57
2018-04-18 03:00:00,7907.74,7949.86,7902.64,7931.47,106.54,844133.73,7923.12
2018-04-18 04:00:00,7930.26,7936.53,7902.48,7921.21,220.01,1741356.87,7915.07
2018-04-18 05:00:00,7921.62,7938.13,7906.77,7922.99,198.19,1570893.31,7926.03
2018-04-18 06:00:00,7923.98,8143,7870.35,8130,1063.4,8545093.86,8035.61
2018-04-18 07:00:00,8129.99,8170.99,8089.51,8115.84,687.06,5586361.35,8130.87
2018-04-18 08:00:00,8115.88,8122.03,8076.41,8080.57,350.06,2834439.82,8097.06
2018-04-18 09:00:00,8089.8,8113.01,8079.01,8101.02,175.2,1419174.14,8100.08
2018-04-18 10:00:00,8100.57,8119,8082.42,8100.28,311.59,2523875.51,8100.03
2018-04-18 11:00:00,8093.42,8119,8072.79,8103.57,320.59,2595507.02,8095.91
2018-04-18 12:00:00,8109.97,8120,8081.97,8099.33,135.36,1096444.46,8100.36
2018-04-18 13:00:00,8100,8120.6,8080.01,8098.97,230.77,1869055.73,8099.2
2018-04-18 14:00:00,8098.97,8110.77,7950.01,7955.8,358.28,2878202.48,8033.31
2018-04-18 15:00:00,7955.8,8026.36,7934.65,7995.11,672.21,5365792.68,7982.35
2018-04-18 16:00:00,8000.66,8150,7995.11,8124.43,835.43,6762360.5,8094.42
2018-04-18 17:00:00,8124.43,8130,8090.3,8106.58,304.52,2472246.45,8118.5
2018-04-18 18:00:00,8106.55,8127.87,8092.34,8107.25,158.14,1283027.12,8113.46
2018-04-18 19:00:00,8100.01,8129.99,8094.93,8116.75,146.74,1190592.05,8113.64
2018-04-18 20:00:00,8112.88,8235,8100.01,8184.35,1118.34,9167362.27,8197.31
2018-04-18 21:00:00,8190,8198.26,8167.5,8197,164.41,1345331.37,8182.57
2018-04-18 22:00:00,8197,8218.07,8109.74,8156.71,481.38,3933789.93,8171.94
2018-04-18 23:00:00,8164.59,8191.49,8150,8172.84,319.43,2610067.87,8170.95
2018-04-19 00:00:00,8172.83,8177.49,8100,8160.39,342.84,2788727,8134.12
2018-04-19 01:00:00,8160.1,8200,8115.77,8189.99,539.54,4412004.13,8177.35
2018-04-19 02:00:00,8184.13,8282,8137.97,8218.24,844.72,6937688.22,8213.05
2018-04-19 03:00:00,8210,8211.9,8162.8,8179,292.86,2397049.72,8184.96
2018-04-19 04:00:00,8179,8189.99,8138.28,8189.99,351.53,2869901.32,8163.98
2018-04-19 05:00:00,8189.99,8189.99,8157.03,8181.74,262.65,2146544.96,8172.79
2018-04-19 06:00:00,8177.63,8198,8159.96,8175.04,192.36,1573540.99,8180.05
2018-04-19 07:00:00,8175.04,8232.14,8074.44,8170.6,681.22,5553363.6,8152.07
2018-04-19 08:00:00,8163.66,8234.55,8150,8184.11,458.88,3757094.08,8187.49
