Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-07-04 12:00:00,6525.3,6558.69,6513.18,6548.79,397.1,2596942.87,6539.81
2018-07-04 13:00:00,6548.79,6792.28,6539.86,6708.11,1163.69,7808889.3,6710.46
2018-07-04 14:00:00,6716.99,6719.63,6677.19,6694.59,264.2,1769645.99,6698.17
2018-07-04 15:00:00,6699.99,6707.72,6666.76,6684.41,137.41,918307.01,6683.08
2018-07-04 16:00:00,6682.22,6694.99,6650,6664,214.06,1427779.76,6669.91
2018-07-04 17:00:00,6665.15,6682.43,6660,6676.43,137.91,919574.77,6667.91
2018-07-04 18:00:00,6676.44,6698.99,6657.95,6668.7,145.87,974555.33,6680.82
2018-07-04 19:00:00,6668.33,6688.03,6658.08,6687.96,93.81,625896.87,6671.96
2018-07-04 20:00:00,6687.95,6696.99,6675.94,6687.45,162.65,1087916.35,6688.59
2018-07-04 21:00:00,6687.45,6690,6662.01,6689.89,133.99,895000.79,6679.41
2018-07-04 22:00:00,6687.99,6694.98,6542.59,6593.01,535.09,3536672.81,6609.52
2018-07-04 23:00:00,6593.9,6601.98,6558.95,6584.25,195.79,1287836.54,6577.52
2018-07-05 00:00:00,6575.62,6594.38,6510,6559.14,420.86,2754839.83,6545.8
2018-07-05 01:00:00,6552.76,6700,6549.54,6625.12,445.26,2952059.37,6630.04
2018-07-05 02:00:00,6625.11,6644.15,6586.34,6608.28,159.38,1053448.04,6609.84
2018-07-05 03:00:00,6596.73,6633.93,6596.37,6621.99,101.48,671494.34,6616.77
2018-07-05 04:00:00,6621.99,6639.96,6603.46,6618.71,153.09,1013526.41,6620.25
2018-07-05 05:00:00,6618.98,6666.95,6558.95,6600.28,589.09,3893231.52,6608.89
2018-07-05 06:00:00,6600.27,6613.5,6576.37,6595.63,221.66,1461681.12,6594.25
2018-07-05 07:00:00,6595.99,6624.77,6587.56,6609.13,354.17,2338901.11,6603.89
2018-07-05 08:00:00,6609.07,6624.79,6596.41,6622.98,213.2,1409923.82,6613.3
2018-07-05 09:00:00,6622.98,6648,6542.59,6633.1,488.13,3216738.98,6589.88
2018-07-05 10:00:00,6637.25,6650.92,6597.29,6635.99,320.68,2124282.16,6624.35
2018-07-05 11:00:00,6635.99,6691.28,6611.8,6618,440.82,2929138.01,6644.67
2018-07-05 12:00:00,6618.81,6662.97,6570,6636.12,455.87,3017920.88,6620.19
2018-07-05 13:00:00,6637.14,6672.9,6580,6601.44,365.4,2420374.83,6623.87
2018-07-05 14:00:00,6597,6614.02,6560.1,6584.11,292.81,1928781.35,6587.07
2018-07-05 15:00:00,6578.28,6615.2,6542.59,6605.64,335.62,2208245.06,6579.57
2018-07-05 16:00:00,6604.11,6640.68,6580.01,6585.89,201,1329306.53,6613.6
2018-07-05 17:00:00,6586.66,6599.57,6542.59,6564.96,375.52,2465735.22,6566.15
2018-07-05 18:00:00,6562.13,6590.58,6445.31,6489.2,759.51,4942957.65,6508.06
2018-07-05 19:00:00,6482.68,6531.05,6452.61,6506.64,414.66,2689509.91,6486.05
2018-07-05 20:00:00,6507.53,6519.86,6484.8,6511.09,259.08,1684226.11,6500.69
2018-07-05 21:00:00,6512.39,6512.39,6477.57,6498.96,96.29,624857.35,6489.47
2018-07-05 22:00:00,6495.52,6536.98,6484.08,6536.98,111.56,727176.42,6518.42
2018-07-05 23:00:00,6536.98,6558,6523.08,6533.69,117.07,765606.14,6539.51
2018-07-06 00:00:00,6533.69,6547.29,6524.41,6529.44,51.49,336501.47,6534.99
2018-07-06 01:00:00,6529.52,6529.52,6505,6513.1,119.69,779999.5,6516.94
2018-07-06 02:00:00,6513.16,6542.59,6513.16,6542.59,93.43,610405.33,6533.03
2018-07-06 03:00:00,6539.54,6542.29,6521.74,6529.5,43.17,281945.1,6531.6
2018-07-06 04:00:00,6525.99,6531.99,6482,6525,236.53,1538482.31,6504.4
2018-07-06 05:00:00,6525,6531.99,6499.3,6499.47,95.67,622703.64,6508.87
2018-07-06 06:00:00,6504.49,6510.9,6464,6470.29,365.42,2370200.21,6486.24
2018-07-06 07:00:00,6464.17,6499.77,6449.76,6489.18,377.98,2443848.63,6465.6
2018-07-06 08:00:00,6488.14,6537.02,6472.09,6507.2,277.6,1806630.59,6508
2018-07-06 09:00:00,6509.75,6519.37,6491.28,6499.46,202.85,1319824.08,6506.32
2018-07-06 10:00:00,6497.48,6549.15,6489.01,6529.52,199.66,1301877.6,6520.35
2018-07-06 11:00:00,6537.14,6546.5,6510,6524.24,114.03,744270.17,6526.89
2018-07-06 12:00:00,6530.46,6636.15,6524.34,6582.25,573.14,3777170.54,6590.36
2018-07-06 13:00:00,6582.28,6593.35,6532.41,6567.45,566.57,3715619.6,6558.06
2018-07-06 14:00:00,6567.01,6574.42,6549.68,6549.84,228.29,1497899.63,6561.43
2018-07-06 15:00:00,6561.51,6571.42,6545,6562.87,240.23,1576202.88,6561.29
2018-07-06 16:00:00,6565.67,6574,6548.93,6559.01,130.79,858229.47,6561.8
2018-07-06 17:00:00,6558.91,6630.24,6547.02,6601.75,347.92,2293536,6592.2
2018-07-06 18:00:00,6602.86,6620.36,6526.28,6563.73,551.99,3620221.84,6558.49
2018-07-06 19:00:00,6563.74,6581,6557.98,6567.12,140.85,925181.39,6568.57
2018-07-06 20:00:00,6564.61,6590.24,6560.02,6570.17,148.59,976486.22,6571.72
2018-07-06 21:00:00,6572.3,6591.79,6558.5,6591.79,43.88,288292.11,6570.33
2018-07-06 22:00:00,6582.27,6624.79,6565.05,6573.53,158.46,1043639.92,6586.33
2018-07-06 23:00:00,6571.93,6616.34,6569.41,6596.53,149.45,985393.98,6593.41
2018-07-07 00:00:00,6604.74,6608.95,6576.46,6592.58,66.21,436293.76,6590.04
2018-07-07 01:00:00,6592.58,6596.29,6558.95,6566.77,236.9,1556648.29,6571.01
2018-07-07 02:00:00,6569.67,6600.58,6564.01,6585.95,147.6,972117.32,6586.13
2018-07-07 03:00:00,6586.38,6605.04,6576.59,6595.62,188.39,1242108.37,6593.39
2018-07-07 04:00:00,6590.95,6617,6581.44,6598.78,202.86,1338904.82,6600.13
2018-07-07 05:00:00,6597.64,6609.9,6586.11,6593.39,156.44,1032134.37,6597.71
2018-07-07 06:00:00,6593.36,6594.8,6571.09,6580.48,112.54,741054.54,6585.08
2018-07-07 07:00:00,6580.77,6599.23,6570.5,6595.45,207.96,1369101.61,6583.6
2018-07-07 08:00:00,6598.84,6604.02,6573.27,6574.65,152.7,1005634.72,6585.55
2018-07-07 09:00:00,6574.4,6586.99,6566.31,6578.04,146.13,961184.55,6577.52
2018-07-07 10:00:00,6578.04,6593.71,6562.94,6586.96,131.63,866237.05,6581.05
2018-07-07 11:00:00,6583.08,6591.39,6568.47,6585,114.19,751510.46,6581.13
2018-07-07 12:00:00,6585,6614.69,6543.13,6565.17,296.78,1950923.45,6573.69
2018-07-07 13:00:00,6562,6562,6510,6526.52,296.82,1939620.37,6534.72
2018-07-07 14:00:00,6526.54,6591.79,6524.04,6560.44,165.38,1085532.1,6563.81
2018-07-07 15:00:00,6569.8,6573.9,6542.59,6565.13,28.81,188861.64,6555.65
2018-07-07 16:00:00,6566.69,6571.65,6545,6558.12,97.35,637560.48,6549.2
2018-07-07 17:00:00,6563.99,6563.99,6534.89,6544.12,129.76,849436.56,6546.42
2018-07-07 18:00:00,6548.5,6563.74,6526.28,6548.11,73.44,480129.57,6537.78
2018-07-07 19:00:00,6554.6,6558.6,6538.1,6541.45,89.53,586450.78,6550.08
2018-07-07 20:00:00,6541.45,6544.98,6510,6517.66,154.73,1009890.6,6526.88
